Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
37,Moscow Does Not Believe in Tears,1980,8.017,0.641,8.0,150,Vladimir Menshov,43.799,0.631,0.086,False,True,True,0,0,0,0
38,Mother,1926,7.661,0.611,7.4,89,Vsevolod Pudovkin,-17.201,0.031,-0.271,True,True,True,0,0,0,0
39,Mother and Son,1997,7.734,0.613,7.3,73,Aleksandr Sokurov,-33.201,-0.069,-0.198,False,True,True,0,0,0,0
40,Office Romance,1977,8.09,0.649,8.2,159,Eldar Ryazanov,52.799,0.831,0.159,False,True,True,0,0,0,0
41,Only Old Men Are Going to Battle,1974,8.173,0.653,8.2,92,Leonid Bykov,-14.201,0.831,0.241,True,True,True,0,0,0,0
42,Operation 'Y' & Other Shurik's Adventures,1965,8.18,0.657,8.4,95,Leonid Gaidai,-11.201,1.031,0.248,True,False,True,0,0,0,0
43,Peculiarities of the National Hunt,1995,7.481,0.572,7.4,93,Aleksandr Rogozhkin,-13.201,0.031,-0.45,True,True,False,0,0,0,0
44,Pokrov Gates,1983,8.11,0.643,7.9,140,Mikhail Kozakov,33.799,0.531,0.178,False,True,True,0,0,0,0
45,Prisoner of the Mountains,1996,8.125,0.636,7.5,99,Sergei Bodrov,-7.201,0.131,0.193,True,True,True,0,0,0,0
46,Repentance,1984,8.077,0.646,8.1,153,Tengiz Abuladze,46.799,0.731,0.145,False,True,True,0,0,0,0
47,Seventeen Moments of Spring,1973,5.33,0.316,0.0,0,,-106.201,-7.369,-2.601,False,False,False,0,0,0,0
48,Shadows of Forgotten Ancestors,1965,8.158,0.644,7.8,97,Sergei Parajanov,-9.201,0.431,0.227,True,True,True,0,0,0,0
49,Siberiade,1979,8.179,0.671,7.9,190,Andrey Konchalovskiy,83.799,0.531,0.248,False,True,True,0,0,0,0
50,Solaris,1972,8.139,0.645,7.9,167,Andrei Tarkovsky,60.799,0.531,0.208,False,True,True,0,0,0,0
51,Strike,1925,7.573,0.611,7.6,82,Sergei Eisenstein,-24.201,0.231,-0.359,True,True,True,0,0,0,0
52,Ten Little Indians,1987,8.192,0.644,7.7,137,Stanislav Govorukhin,30.799,0.331,0.261,False,True,True,0,0,0,0
53,The Adventures of Sherlock Holmes and Doctor Watson: Mortal Fight,1980,7.854,0.615,8.6,65,Igor Maslennikov,-41.201,1.231,-0.078,False,False,True,0,0,0,0
54,The Adventures of Sherlock Holmes and Dr. Watson: The Adventures of Sherlock Holmes and Doctor Watson: Mortal Fight,1980,5.32,0.316,0.0,0,Igor Maslennikov,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
55,The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles,1981,5.32,0.316,0.0,0,,-106.201,-7.369,-2.611,False,False,False,0,0,0,0
56,The Ascent,1977,8.216,0.655,8.2,111,Larisa Shepitko,4.799,0.831,0.285,True,True,True,0,0,0,0
57,The Banishment,2007,8.152,0.638,7.5,157,Andrey Zvyagintsev,50.799,0.131,0.22,False,True,True,0,0,0,0
58,The Barber of Siberia,1998,7.972,0.657,7.7,180,Nikita Mikhalkov,73.799,0.331,0.041,False,True,True,0,0,0,0
