Rank,Title,Year,Predicted_Rating,Recommendation_Score,IMDb_Rating,Runtime_mins,Director,Runtime_Vs_Your_Avg,IMDb_Vs_Your_Avg,Predicted_Vs_Your_Avg,Good_Runtime_Match,Good_IMDb_Match,High_Confidence,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist
14,Chilla,2014,8.103,0.609,6.2,88.0,Saodat Ismailova,-18.201,-1.169,0.171,True,False,True,0,0,0,0
15,Clara Sola,2021,8.392,0.634,6.7,106.0,Nathalie Álvarez Mesén,-0.201,-0.669,0.461,True,True,True,0,0,0,0
16,Cocote,2017,8.119,0.614,6.4,106.0,Nelson Carlo de Los Santos Arias,-0.201,-0.969,0.187,True,True,True,0,0,0,0
17,Corn Island,2014,8.179,0.639,7.5,100.0,George Ovashvili,-6.201,0.131,0.247,True,True,True,0,0,0,0
18,Daughters of the Dust,1991,7.841,0.628,6.6,113.0,Julie Dash,6.799,-0.769,-0.09,True,True,True,0,0,0,0
19,Destiny,1997,7.776,0.637,7.2,135.0,Youssef Chahine,28.799,-0.169,-0.156,True,True,True,0,0,0,0
20,Difret,2014,7.969,0.616,6.9,99.0,Zeresenay Mehari,-7.201,-0.469,0.038,True,True,True,0,0,0,0
21,Dôlè,2000,7.572,0.589,6.5,79.0,Imunga Ivanga,-27.201,-0.869,-0.359,True,True,False,0,0,0,0
22,Embrace of the Serpent,2015,8.33,0.652,7.8,125.0,Ciro Guerra,18.799,0.431,0.398,True,True,True,0,0,0,0
23,Everybody Changes,2019,8.027,0.613,6.6,93.0,Arturo Montenegro,-13.201,-0.769,0.096,True,True,True,0,0,0,0
24,Exiled,2016,8.001,0.634,6.5,100.0,Davis Simanis Jr.,-6.201,-0.869,0.07,True,True,True,0,0,0,0
25,Fire,1996,7.887,0.616,7.1,104.0,Deepa Mehta,-2.201,-0.269,-0.045,True,True,True,0,0,0,0
26,From Afar,2015,7.884,0.606,6.6,93.0,Lorenzo Vigas,-13.201,-0.769,-0.047,True,True,True,0,0,0,0
27,Gloria,2013,8.057,0.621,6.9,110.0,Sebastián Lelio,3.799,-0.469,0.126,True,True,True,0,0,0,0
28,GriGris,2013,8.013,0.609,6.4,101.0,Mahamat-Saleh Haroun,-5.201,-0.969,0.081,True,True,True,0,0,0,0
29,Hand of Fate,2013,6.7,0.415,0.0,6.0,Dean G. Christakis,-100.201,-7.369,-1.231,False,False,False,0,0,0,0
30,Harmony Lessons,2013,8.11,0.631,7.3,120.0,Emir Baigazin,13.799,-0.069,0.178,True,True,True,0,0,0,0
31,Himalaya,1999,8.187,0.637,7.4,108.0,"Eric Valli, Michel Debats",1.799,0.031,0.255,True,True,True,0,0,0,0
32,Honeyland,2019,8.06,0.643,8.0,89.0,"Tamara Kotevska, Ljubomir Stefanov",-17.201,0.631,0.128,True,True,True,0,0,0,0
33,I Am Not a Witch,2017,7.995,0.618,6.9,93.0,Rungano Nyoni,-13.201,-0.469,0.063,True,True,True,0,0,0,0
34,I Am You,2019,7.874,0.606,6.6,89.0,Sonia Nassery Cole,-17.201,-0.769,-0.057,True,True,True,0,0,0,0
35,Impuros,2018,7.938,0.609,8.1,60.0,,-46.201,0.731,0.007,False,True,True,0,0,0,0
36,Ixcanul,2015,8.059,0.625,7.1,93.0,Jayro Bustamante,-13.201,-0.269,0.128,True,True,True,0,0,0,0
