Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
107,tt3516158,2025-06-11,2025-06-11,,"A Few Cubic Meters of Love","Chand metre moka'ab eshgh",https://www.imdb.com/title/tt3516158/,Movie,6.9,90,2014,"Drama, Romance",759,2014-12-17,"Jamshid Mahmoudi",,
108,tt2912144,2025-06-11,2025-06-11,,"Manuscripts Don't Burn","Dast-neveshtehaa nemisoosand",https://www.imdb.com/title/tt2912144/,Movie,7.2,125,2013,"Drama, Thriller",1388,2013-11-01,"Mohammad Rasoulof",,
109,tt1974212,2025-06-11,2025-06-11,,"Facing Mirrors","Aynehaye rooberoo",https://www.imdb.com/title/tt1974212/,Movie,7.1,98,2011,"Drama",669,2012-10-24,"Negar Azarbayjani",,
110,tt0103937,2025-06-11,2025-06-11,,"The Boot","Chakmeh",https://www.imdb.com/title/tt0103937/,Movie,7.1,60,1993,"Drama, Family",199,1993,"Mohammad Ali Talebi",,
111,tt1426378,2025-06-11,2025-06-11,,"No One Knows About Persian Cats","Kasi az gorbehaye irani khabar nadareh",https://www.imdb.com/title/tt1426378/,Movie,7.1,106,2009,"Drama, Music",7621,2009-12-23,"Bahman Ghobadi",,
112,tt0071549,2025-06-11,2025-06-11,,"Stranger and the Fog","Gharibeh Va Meh",https://www.imdb.com/title/tt0071549/,Movie,7.4,146,1975,"Drama, Mystery",452,1975-05-06,"Bahram Beyzaie",,
113,tt0277975,2025-06-11,2025-06-11,,"The Unfinished Song","Qateh-ye natamam",https://www.imdb.com/title/tt0277975/,Movie,6.6,92,2001,"Drama",78,2001-02-06,"Maziar Miri",,
114,tt0074782,2025-06-11,2025-06-11,,"A Suit for Wedding","Lebassi Baraye Arossi",https://www.imdb.com/title/tt0074782/,Movie,7.1,54,1976,"Drama",849,1976,"Abbas Kiarostami",,
115,tt3531496,2025-06-11,2025-06-11,,"Hussein, Who Said No","Rastakhiz: Rooze Rastakhiz",https://www.imdb.com/title/tt3531496/,Movie,6.7,160,2014,"Drama, History, War",1604,2022-03-07,"Ahmad Reza Darvish",,
116,tt0122708,2025-06-11,2025-06-11,,"The Stone Lion","Shir Sangi",https://www.imdb.com/title/tt0122708/,Movie,6.6,87,1987,"Drama, History, War",168,1994-01-28,"Masoud Jafari Jozani",,
117,tt1328613,2025-06-11,2025-06-11,,"Among the Clouds","Dar miane abrha",https://www.imdb.com/title/tt1328613/,Movie,6.2,83,2008,"Drama",146,2008,"Rouhollah Hejazi",,
118,tt8269552,2025-06-11,2025-06-11,,"3 Faces","Se rokh",https://www.imdb.com/title/tt8269552/,Movie,7.0,100,2018,"Drama",5223,2019-03-08,"Jafar Panahi",,
119,tt0084044,2025-06-11,2025-06-11,,"Hajji Washington","Hajji Washington",https://www.imdb.com/title/tt0084044/,Movie,7.0,98,1983,"Biography, Comedy, Drama, History",812,1983-02-01,"Ali Hatami",,
120,tt0072111,2025-06-11,2025-06-11,,"Samad Becomes an Actor","Samad Artist Mishavad",https://www.imdb.com/title/tt0072111/,Movie,7.1,121,1974,"Comedy",393,1974,"Parviz Sayyad",,
121,tt6208032,2025-06-11,2025-06-11,,"Lovely Trash","Ashghal haye Doost Dashtani",https://www.imdb.com/title/tt6208032/,Movie,6.7,86,2013,"Drama, Fantasy",1514,2019-02-13,"Mohsen Amiryoussefi",,
122,tt0070766,2025-06-11,2025-06-11,,"Experience","Tadjrebeh",https://www.imdb.com/title/tt0070766/,Movie,6.9,53,1973,"Drama",1076,1973,"Abbas Kiarostami",,
123,tt0278159,2025-06-11,2025-06-11,,"Under the Moonlight","Zir-e noor-e maah",https://www.imdb.com/title/tt0278159/,Movie,6.9,96,2001,"Drama",1159,2002-01-09,"Reza Mirkarimi",,
124,tt2326554,2025-06-11,2025-06-11,,"A Girl Walks Home Alone at Night","A Girl Walks Home Alone at Night",https://www.imdb.com/title/tt2326554/,Movie,6.9,101,2014,"Drama, Horror, Romance, Thriller",40623,2015-04-20,"Ana Lily Amirpour",,
125,tt2440036,2025-06-11,2025-06-11,,"Hush! Girls Don't Scream","Hiss Dokhtarha Faryad Nemizanand",https://www.imdb.com/title/tt2440036/,Movie,6.9,106,2013,"Drama",5519,2013-07-31,"Pouran Derakhshandeh",,
126,tt0069727,2025-06-11,2025-06-11,,"Tranquility in the Presence of Others","Aramesh dar Hozur Deegaran",https://www.imdb.com/title/tt0069727/,Movie,6.8,86,1972,"Drama",492,1972,"Nasser Taghvai",,
127,tt3526482,2025-06-11,2025-06-11,,"Tales","Ghesse-ha",https://www.imdb.com/title/tt3526482/,Movie,7.0,88,2014,"Drama",1594,2015-05-06,"Rakhshan Banietemad",,
128,tt1926992,2025-06-11,2025-06-11,,"Goodbye","Be omid-e didar",https://www.imdb.com/title/tt1926992/,Movie,6.8,105,2011,"Drama",886,2011-09-07,"Mohammad Rasoulof",,
129,tt0065817,2025-06-11,2025-06-11,,"Hassan, the Bald","Hasan Kachal",https://www.imdb.com/title/tt0065817/,Movie,7.0,106,1970,"Adventure, Fantasy, Musical, Romance",572,1970,"Ali Hatami",,
130,tt1170393,2025-06-11,2025-06-11,,"Tambourine","Dayereh-e zangi",https://www.imdb.com/title/tt1170393/,Movie,6.9,110,2008,"Comedy, Drama",4871,2008-03-19,"Parisa Bakhtavar",,
131,tt0206947,2025-06-11,2025-06-11,,"The Mongols","Mogholha",https://www.imdb.com/title/tt0206947/,Movie,6.7,92,1973,"Adventure, Drama, History",237,1974,"Parviz Kimiavi",,
