Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
50,tt0055852,2025-06-11,2025-06-11,,"Cléo from 5 to 7","Cléo de 5 à 7",https://www.imdb.com/title/tt0055852/,Movie,7.8,90,1962,"Comedy, Drama, Music",30284,1962-04-11,"Agnès Varda",,
51,tt0059592,2025-06-11,2025-06-11,,"Pierrot le fou","Pierrot le fou",https://www.imdb.com/title/tt0059592/,Movie,7.4,110,1965,"Crime, Drama, Romance",39290,1969-01-08,"Jean-Luc Godard",9,2020-08-09
52,tt0062229,2025-06-11,2025-06-11,,"Le Samouraï","Le samouraï",https://www.imdb.com/title/tt0062229/,Movie,8.0,101,1967,"Crime, Drama, Thriller",63753,1967-10-25,"Jean-Pierre Melville",,
53,tt0028950,2025-06-11,2025-06-11,,"La grande illusion","La grande illusion",https://www.imdb.com/title/tt0028950/,Movie,8.1,113,1937,"Drama, War",40510,1938-09-12,"Jean Renoir",,
54,tt0000417,2025-06-11,2025-06-11,,"A Trip to the Moon","Le voyage dans la lune",https://www.imdb.com/title/tt0000417/,Short,8.1,13,1902,"Short, Adventure, Comedy, Fantasy, Sci-Fi",59475,1902-10-04,"Georges Méliès",,
55,tt0283900,2025-06-11,2025-06-11,,"The Spanish Apartment","L'auberge espagnole",https://www.imdb.com/title/tt0283900/,Movie,7.3,122,2002,"Comedy, Drama, Romance",43705,2003-06-20,"Cédric Klapisch",,
56,tt0035753,2025-06-11,2025-06-11,,"Le Corbeau","Le corbeau",https://www.imdb.com/title/tt0035753/,Movie,7.8,92,1943,"Crime, Drama, Mystery, Thriller",11642,1943-09-28,"Henri-Georges Clouzot",,
57,tt0061395,2025-06-11,2025-06-11,,"Belle de Jour","Belle de jour",https://www.imdb.com/title/tt0061395/,Movie,7.6,100,1967,"Drama, Romance",52321,1968-04-10,"Luis Buñuel",8,2025-09-04
58,tt0113247,2025-06-11,2025-06-11,,"La haine","La haine",https://www.imdb.com/title/tt0113247/,Movie,8.1,98,1995,"Crime, Drama",217428,1996-02-23,"Mathieu Kassovitz",9,2025-08-25
59,tt0071381,2025-06-11,2025-06-11,,"Celine and Julie Go Boating","Céline et Julie vont en bateau : Phantom Ladies Over Paris",https://www.imdb.com/title/tt0071381/,Movie,7.2,193,1974,"Comedy, Drama, Fantasy, Mystery",6880,1974-09-18,"Jacques Rivette",8,2025-06-23
60,tt0053472,2025-06-11,2025-06-11,,"Breathless","À bout de souffle",https://www.imdb.com/title/tt0053472/,Movie,7.7,90,1960,"Crime, Drama",92191,1961-02-07,"Jean-Luc Godard",,
61,tt0064106,2025-06-11,2025-06-11,,"The Butcher","Le boucher",https://www.imdb.com/title/tt0064106/,Movie,7.3,93,1970,"Drama, Mystery, Thriller",9934,1971-12-19,"Claude Chabrol",,
62,tt0057591,2025-06-11,2025-06-11,,"Crooks in Clover","Les tontons flingueurs",https://www.imdb.com/title/tt0057591/,Movie,7.7,105,1963,"Action, Comedy, Crime",6964,1963-11-27,"Georges Lautner",,
63,tt0031885,2025-06-11,2025-06-11,,"The Rules of the Game","La règle du jeu",https://www.imdb.com/title/tt0031885/,Movie,7.9,110,1939,"Comedy, Drama",32868,1950-04-08,"Jean Renoir",7,2025-09-04
64,tt0072353,2025-06-11,2025-06-11,,"Going Places","Les valseuses",https://www.imdb.com/title/tt0072353/,Movie,7.1,117,1974,"Action, Comedy, Crime, Drama",10551,1974-05-13,"Bertrand Blier",,
65,tt0086650,2025-06-11,2025-06-11,,"To Our Loves","À nos amours",https://www.imdb.com/title/tt0086650/,Movie,7.1,99,1983,"Drama, Romance",7628,1983-11-16,"Maurice Pialat",,
66,tt0046911,2025-06-11,2025-06-11,,"Diabolique","Les diaboliques",https://www.imdb.com/title/tt0046911/,Movie,8.1,117,1955,"Crime, Drama, Horror, Mystery, Thriller",72144,1955-11-21,"Henri-Georges Clouzot",10,2020-07-22
67,tt0450188,2025-06-11,2025-06-11,,"La Vie En Rose","La Môme",https://www.imdb.com/title/tt0450188/,Movie,7.5,140,2007,"Biography, Drama, Music, Romance",93055,2007-07-20,"Olivier Dahan",10,2025-07-20
68,tt0061996,2025-06-11,2025-06-11,,"Mouchette","Mouchette",https://www.imdb.com/title/tt0061996/,Movie,7.7,81,1967,"Drama",13806,1970-03-12,"Robert Bresson",,
69,tt0058458,2025-06-11,2025-06-11,,"The Soft Skin","La peau douce",https://www.imdb.com/title/tt0058458/,Movie,7.5,113,1964,"Drama, Romance",8907,1964-04-20,"François Truffaut",,
70,tt0064612,2025-06-11,2025-06-11,,"My Night at Maud's","Ma nuit chez Maud",https://www.imdb.com/title/tt0064612/,Movie,7.8,105,1969,"Comedy, Drama, Romance",15623,1970-03-22,"Éric Rohmer",,
71,tt0091461,2025-06-11,2025-06-11,,"Maine Ocean","Maine Océan",https://www.imdb.com/title/tt0091461/,Movie,6.8,130,1986,"Comedy",405,1986-04-16,"Jacques Rozier",,
72,tt0411270,2025-06-11,2025-06-11,,"The Beat That My Heart Skipped","De battre mon coeur s'est arrêté",https://www.imdb.com/title/tt0411270/,Movie,7.2,108,2005,"Crime, Drama, Music",21270,2005-03-16,"Jacques Audiard",,
73,tt0054189,2025-06-11,2025-06-11,,"Purple Noon","Plein soleil",https://www.imdb.com/title/tt0054189/,Movie,7.7,118,1960,"Crime, Drama, Thriller",23146,1960-03-10,"René Clément",,
74,tt0079980,2025-06-11,2025-06-11,,"Serie Noire","Série noire",https://www.imdb.com/title/tt0079980/,Movie,7.3,116,1979,"Crime, Drama",3803,1979-04-25,"Alain Corneau",,
75,tt0065695,2025-06-11,2025-06-11,,"Naked Childhood","L'enfance nue",https://www.imdb.com/title/tt0065695/,Movie,7.4,83,1968,"Drama",2844,1970-03-02,"Maurice Pialat",,
76,tt6677224,2025-06-11,2025-06-11,,"Histoire(s) du cinéma","Histoire(s) du cinéma",https://www.imdb.com/title/tt6677224/,TV Mini Series,7.2,267,1988,"Documentary",920,1989-05-07,,,
77,tt0019254,2025-06-11,2025-06-11,,"The Passion of Joan of Arc","La passion de Jeanne d'Arc",https://www.imdb.com/title/tt0019254/,Movie,8.1,114,1928,"Biography, Drama, History",66457,1928-10-25,"Carl Theodor Dreyer",6,2025-09-04
78,tt0065531,2025-06-11,2025-06-11,,"Le cercle rouge","Le cercle rouge",https://www.imdb.com/title/tt0065531/,Movie,7.9,140,1970,"Crime, Drama, Thriller",30812,1970-10-20,"Jean-Pierre Melville",,
79,tt0020530,2025-06-11,2025-06-11,,"Un chien andalou","Un chien andalou",https://www.imdb.com/title/tt0020530/,Short,7.6,16,1929,"Short, Fantasy, Horror",55902,1929-06-06,"Luis Buñuel",,
80,tt0053168,2025-06-11,2025-06-11,,"Pickpocket","Pickpocket",https://www.imdb.com/title/tt0053168/,Movie,7.5,76,1959,"Crime, Drama",26952,1959-12-16,"Robert Bresson",,
