Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
13,tt0350193,2025-08-04,2025-08-04,,"Take My Eyes","Te doy mis ojos",https://www.imdb.com/title/tt0350193/,Movie,7.4,109,2003,"Drama, Romance",7776,2003-10-10,"Icíar Bollaín",,
14,tt0401711,2025-08-04,2025-08-04,,"Paris, Je T'aime","Paris, je t'aime",https://www.imdb.com/title/tt0401711/,Movie,7.2,120,2006,"Comedy, Drama, Romance",75898,2007-06-15,"Olivier Assayas, Frédéric Auburtin, Gurinder Chadha, Sylvain Chomet, Ethan Coen, Joel Coen, Isabel Coixet, Wes Craven, Alfonso Cuarón, Gérard Depardieu, Christopher Doyle, Richard LaGravenese, Vincenzo Natali, Alexander Payne, Bruno Podalydès, Walter Salles, Oliver Schmitz, Nobuhiro Suwa, Daniela Thomas, Tom Tykwer, Gus Van Sant",,
15,tt0314412,2025-08-04,2025-08-04,,"My Life Without Me","My Life Without Me",https://www.imdb.com/title/tt0314412/,Movie,7.4,106,2003,"Drama, Romance",26387,2003-03-07,"Isabel Coixet",7,2025-09-14
16,tt0430576,2025-08-04,2025-08-04,,"The Secret Life of Words","The Secret Life of Words",https://www.imdb.com/title/tt0430576/,Movie,7.4,115,2005,"Drama, Romance",13509,2005-10-21,"Isabel Coixet",8,2025-09-14
17,tt0114115,2025-08-04,2025-08-04,,"The Dog in the Manger","El perro del hortelano",https://www.imdb.com/title/tt0114115/,Movie,6.8,119,1996,"Comedy, Romance",1106,1996-10-25,"Pilar Miró",,
18,tt7485508,2025-08-04,2025-08-04,,"Carmen & Lola","Carmen y Lola",https://www.imdb.com/title/tt7485508/,Movie,7.1,103,2018,"Drama, Romance",3771,2018-11-14,"Arantxa Echevarría",,
19,tt0214608,2025-08-04,2025-08-04,,"Cuando vuelvas a mi lado","Cuando vuelvas a mi lado",https://www.imdb.com/title/tt0214608/,Movie,6.8,97,1999,"Drama",466,1999-10-08,"Gracia Querejeta",,
20,tt10399608,2025-08-04,2025-08-04,,"Piggy","Cerdita",https://www.imdb.com/title/tt10399608/,Movie,6.1,99,2022,"Drama, Horror, Thriller",15461,2022-10-14,"Carlota Pereda",,
21,tt27599713,2025-08-04,2025-08-04,,"The Red Virgin","La virgen roja",https://www.imdb.com/title/tt27599713/,Movie,6.8,114,2024,"Drama",3563,2024-12-05,"Paula Ortiz",,
22,tt2645142,2025-08-04,2025-08-04,,"The Plague","La plaga",https://www.imdb.com/title/tt2645142/,Movie,6.9,82,2013,"Drama",372,2013-09-06,"Neus Ballús",,
23,tt7605702,2025-08-04,2025-08-04,,"The Days to Come","Els dies que vindran",https://www.imdb.com/title/tt7605702/,Movie,6.8,95,2019,"Drama, Romance",954,2019-06-28,"Carlos Marques-Marcet",,
24,tt0122630,2025-08-04,2025-08-04,,"Ramdenime interviu pirad sakitkhebze","Ramdenime interviu pirad sakitkhebze",https://www.imdb.com/title/tt0122630/,Movie,7.2,95,1978,"Drama",216,1982-11,"Lana Gogoberidze",,
25,tt0995747,2025-08-04,2025-08-04,,"Mermaid","Rusalka",https://www.imdb.com/title/tt0995747/,Movie,7.1,115,2007,"Comedy, Drama, Fantasy",3797,2007-11-22,"Anna Melikyan",,
26,tt0062393,2025-08-04,2025-08-04,,"Three Poplars on Plyuschikha Street","Tri topolya na Plyushchikhe",https://www.imdb.com/title/tt0062393/,Movie,7.8,79,1968,"Romance",1314,1968-04-29,"Tatyana Lioznova",,
27,tt8900172,2025-08-04,2025-08-04,,"The Man Who Surprised Everyone","Chelovek, kotoryy udivil vsekh",https://www.imdb.com/title/tt8900172/,Movie,6.6,105,2018,"Drama",1034,2018-10-25,"Natasha Merkulova, Alexey Chupov",,
28,tt0813541,2025-08-04,2025-08-04,,"Piter FM","Piter FM",https://www.imdb.com/title/tt0813541/,Movie,7.0,85,2006,"Comedy, Drama, Romance",4045,2006-04-20,"Oxana Bychkova",,
29,tt15528494,2025-08-04,2025-08-04,,"Strana Sasha","Strana Sasha",https://www.imdb.com/title/tt15528494/,Movie,6.3,88,2022,"Drama, Romance",177,2022-07-14,"Yuliya Trofimova",,
30,tt1596365,2025-08-04,2025-08-04,,"The Woman in Black","The Woman in Black",https://www.imdb.com/title/tt1596365/,Movie,6.4,95,2012,"Drama, Fantasy, Horror, Thriller",197825,2012-02-03,"James Watkins",,
31,tt1242460,2025-08-04,2025-08-04,,"We Need to Talk About Kevin","We Need to Talk About Kevin",https://www.imdb.com/title/tt1242460/,Movie,7.4,112,2011,"Drama, Mystery, Thriller",177209,2011-10-21,"Lynne Ramsay",9,2024-11-21
32,tt1232776,2025-08-04,2025-08-04,,"Fish Tank","Fish Tank",https://www.imdb.com/title/tt1232776/,Movie,7.3,123,2009,"Drama",67479,2009-09-11,"Andrea Arnold",,
33,tt0107756,2025-08-04,2025-08-04,,"Orlando","Orlando",https://www.imdb.com/title/tt0107756/,Movie,7.1,94,1992,"Biography, Drama, Fantasy, Romance",20306,1993-06-09,"Sally Potter",,
34,tt2304426,2025-08-04,2025-08-04,,"The Selfish Giant","The Selfish Giant",https://www.imdb.com/title/tt2304426/,Movie,7.3,91,2013,"Drama",13080,2013-10-25,"Clio Barnard",,
35,tt2404181,2025-08-04,2025-08-04,,"Belle","Belle",https://www.imdb.com/title/tt2404181/,Movie,7.3,100,2013,"Biography, Drama, Romance",34434,2014-06-13,"Amma Asante",,
36,tt1107850,2025-08-04,2025-08-04,,"Unrelated","Unrelated",https://www.imdb.com/title/tt1107850/,Movie,6.7,100,2007,"Drama",3125,2008-09-19,"Joanna Hogg",,
37,tt1399683,2025-08-04,2025-08-04,,"Winter's Bone","Winter's Bone",https://www.imdb.com/title/tt1399683/,Movie,7.1,100,2010,"Crime, Drama, Mystery, Thriller",155552,2010-07-16,"Debra Granik",,
38,tt9495224,2025-08-04,2025-08-04,,"Black Mirror: Bandersnatch","Black Mirror: Bandersnatch",https://www.imdb.com/title/tt9495224/,Movie,7.1,90,2018,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",142019,2018-12-28,"David Slade",7,2025-08-17
39,tt22890246,2025-08-04,2025-08-04,,"How to Have Sex","How to Have Sex",https://www.imdb.com/title/tt22890246/,Movie,6.4,91,2023,"Drama",21487,2024-04-05,"Molly Manning Walker",,
40,tt1790885,2025-08-04,2025-08-04,,"Zero Dark Thirty","Zero Dark Thirty",https://www.imdb.com/title/tt1790885/,Movie,7.4,157,2012,"Drama, History, Thriller",334107,2013-01-11,"Kathryn Bigelow",,
41,tt1211890,2025-08-04,2025-08-04,,"Middle of Nowhere","Middle of Nowhere",https://www.imdb.com/title/tt1211890/,Movie,6.6,101,2012,"Drama",2074,2014-09-01,"Ava DuVernay",,
42,tt2872462,2025-08-04,2025-08-04,,"Mistress America","Mistress America",https://www.imdb.com/title/tt2872462/,Movie,6.7,84,2015,"Comedy, Drama",29406,2015-09-04,"Noah Baumbach",,
43,tt6217608,2025-08-04,2025-08-04,,"The Rider","The Rider",https://www.imdb.com/title/tt6217608/,Movie,7.4,104,2017,"Drama, Western",21552,2018-04-13,"Chloé Zhao",,
44,tt4468634,2025-08-04,2025-08-04,,"Certain Women","Certain Women",https://www.imdb.com/title/tt4468634/,Movie,6.4,107,2016,"Drama",16828,2017-02-22,"Kelly Reichardt",,
45,tt0159097,2025-08-04,2025-08-04,,"The Virgin Suicides","The Virgin Suicides",https://www.imdb.com/title/tt0159097/,Movie,7.2,97,1999,"Drama, Romance",182346,2000-05-19,"Sofia Coppola",,
46,tt0180708,2025-08-04,2025-08-04,,"Funny Valentines","Funny Valentines",https://www.imdb.com/title/tt0180708/,Movie,7.5,108,1999,"Drama",670,1999-02-14,"Julie Dash",,
47,tt0096028,2025-08-04,2025-08-04,,"Salaam Bombay!","Salaam Bombay!",https://www.imdb.com/title/tt0096028/,Movie,7.9,113,1988,"Crime, Drama",10747,1988-10-07,"Mira Nair",,
48,tt8637428,2025-08-04,2025-08-04,,"The Farewell","The Farewell",https://www.imdb.com/title/tt8637428/,Movie,7.5,100,2019,"Comedy, Drama",74705,2019-08-09,"Lulu Wang",,
49,tt0249866,2025-08-04,2025-08-04,,"Paromitar Ek Din","Paromitar Ek Din",https://www.imdb.com/title/tt0249866/,Movie,7.6,130,2000,"Drama, Family",427,2000-01-08,"Aparna Sen",,
50,tt0329393,2025-08-04,2025-08-04,,"Mr. and Mrs. Iyer","Mr. and Mrs. Iyer",https://www.imdb.com/title/tt0329393/,Movie,7.9,120,2002,"Drama",5011,2002-07-19,"Aparna Sen",,
51,tt1620620,2025-08-04,2025-08-04,,"The Japanese Wife","The Japanese Wife",https://www.imdb.com/title/tt1620620/,Movie,7.6,105,2010,"Drama, Romance",2670,2010-04-09,"Aparna Sen",,
52,tt0081968,2025-08-04,2025-08-04,,"36 Chowringhee Lane","36 Chowringhee Lane",https://www.imdb.com/title/tt0081968/,Movie,7.5,122,1981,"Drama, Romance",459,1981-08-29,"Aparna Sen",,
53,tt2395469,2025-08-04,2025-08-04,,"Gully Boy","Gully Boy",https://www.imdb.com/title/tt2395469/,Movie,7.9,154,2019,"Drama, Music, Romance",45877,2019-02-14,"Zoya Akhtar",,
